tool	type	genome	reads	paired	paired_perc	aligned_concordantly_0	aligned_concordantly_0_perc	aligned_concordantly_1	aligned_concordantly_1_perc	aligned_concordantly_gt_1	aligned_concordantly_gt_1_perc	overall_alignment_rate
hisat2	raw	all	73875257	73875257	100.00%	27410788	37.10%	29807631	40.35%	16656838	22.55%	62.90%
bowtie2	raw	all	73875257	73875257	100.00%	21849442	29.58%	6578251	8.90%	45447564	61.52%	70.42%
hisat2	raw	es_noEs	73875257	73875257	100.00%	28619574	38.74%	33360740	45.16%	11894943	16.10%	61.26%
bowtie2	raw	es_noEs	73875257	73875257	100.00%	27092404	36.67%	7655049	10.36%	39127804	52.96%	63.33%
hisat2	raw	es	73875257	73875257	100.00%	35152520	47.58%	30438396	41.20%	8284341	11.21%	52.42%
bowtie2	raw	es	73875257	73875257	100.00%	34858826	47.19%	16754631	22.68%	22261800	30.13%	52.81%
hisat2	clean	all	73073531	73073531	100.00%	26612428	36.42%	29797004	40.78%	16664099	22.80%	63.58%
bowtie2	clean	all	73073531	73073531	100.00%	21045253	28.80%	6581235	9.01%	45447043	62.19%	71.20%
hisat2	clean	es_noEs	73073531	73073531	100.00%	27818888	38.07%	33350353	45.64%	11904290	16.29%	61.93%
bowtie2	clean	es_noEs	73073531	73073531	100.00%	26292209	35.98%	7658521	10.48%	39122801	53.54%	64.02%
hisat2	clean	es	73073531	73073531	100.00%	34349786	47.01%	30429166	41.64%	8294579	11.35%	52.99%
bowtie2	clean	es	73073531	73073531	100.00%	34084352	46.64%	16752982	22.93%	22236197	30.43%	53.36%
